"SYMBOL 
","COMPANY 
","PURPOSE 
","DETAILS 
","DATE 
"
"BANARBEADS","Banaras Beads Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","23-Jul-2026"
"CAPITALSFB","Capital Small Finance Bank Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","23-Jul-2026"
"CHENNPETRO","Chennai Petroleum Corporation Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","23-Jul-2026"
"CIPLA","Cipla Limited","Financial Results","To consider and approve the unaudited standalone and consolidated financial results of the Company for the quarter ended 30th June, 2026.In terms of the Company's Code of Conduct for prevention of Insider Trading, the 'Trading window' for dealing in the securities of the Company will be closed from Wednesday, 1st July, 2026 till Saturday, 25th July, 2026 (both days inclusive) for the purpose of financial results.","23-Jul-2026"
"CONTROLPR","Control Print Limited","Financial Results","To consider and approve the unaudited financial results for the quarter ended June 30, 2026","23-Jul-2026"
"COROMANDEL","Coromandel International Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","23-Jul-2026"
"CROWN","Crown Lifters Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","23-Jul-2026"
"CYBERTECH","Cybertech Systems And Software Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","23-Jul-2026"
"CYIENT","Cyient Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","23-Jul-2026"
"FCL","Fineotex Chemical Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","23-Jul-2026"
"FRACTAL","Fractal Analytics Limited","Financial Results","To consider and approve the unaudited standalone and consolidated financial results of the Company for the quarter ending June 30, 2026.","23-Jul-2026"
"GODIGIT","Go Digit General Insurance Limited","Financial Results","To consider and approve the unaudited financial results for the quarter ended 30th June 2026","23-Jul-2026"
"GRPLTD","GRP Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","23-Jul-2026"
"GUJALKALI","Gujarat Alkalies and Chemicals Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","23-Jul-2026"
"HINDCOMPOS","Hindustan Composites Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","23-Jul-2026"
"IEX","Indian Energy Exchange Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","23-Jul-2026"
"IGIL","International Gemological Institute Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","23-Jul-2026"
"INDIGO","InterGlobe Aviation Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","23-Jul-2026"
"INFY","Infosys Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","23-Jul-2026"
"MAHLIFE","Mahindra Lifespace Developers Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","23-Jul-2026"
"MALUPAPER","Malu Paper Mills Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","23-Jul-2026"
"MBLINFRA","MBL Infrastructure Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","23-Jul-2026"
"MEESHO","Meesho Limited","Financial Results","To consider and approve the unaudited financial results (standalone and consolidated) for the quarter ended June 30, 2026","23-Jul-2026"
"MOTILALOFS","Motilal Oswal Financial Services Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","23-Jul-2026"
"MPHASIS","MphasiS Limited","Financial Results","To consider and approve the financial results for the period ended June 30, 2026.","23-Jul-2026"
"NIITMTS","NIIT Learning Systems Limited","Financial Results","To consider and approve Unaudited Financial Results for the quarter ended June 30, 2026, both Consolidated and Standalone","23-Jul-2026"
"ORIENTCEM","Orient Cement Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","23-Jul-2026"
"PFC","Power Finance Corporation Limited","Other business matters","Intimation of Board Meeting","23-Jul-2026"
"PRIMESECU","Prime Securities Limited","Financial Results","Approval of Unaudited Financial Results for the Quarter ended June 30, 2026","23-Jul-2026"
"PVRINOX","PVR INOX Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters.","23-Jul-2026"
"RAMCOSYS","Ramco Systems Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","23-Jul-2026"
"ROUTE","ROUTE MOBILE LIMITED","Financial Results/Dividend/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026, interim dividend and other business matters.","23-Jul-2026"
"SHEMAROO","Shemaroo Entertainment Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","23-Jul-2026"
"SOLARA","Solara Active Pharma Sciences Limited","Financial Results","To consider and approve the unaudited Standalone and Consolidated financial results for the quarter ended June 30, 2026","23-Jul-2026"
"SONACOMS","Sona BLW Precision Forgings Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","23-Jul-2026"
"SONAMLTD","SONAM LIMITED","Dividend/Other business matters","To consider dividend and other business matters","23-Jul-2026"
"SPANDANA","Spandana Sphoorty Financial Limited","Financial Results","To consider and approve the unaudited financial results for the quarter ended Jun 30, 2026","23-Jul-2026"
"SURAJLTD","Suraj Limited","Financial Results","To consider and approve the Standalone and Consolidated financial results for the period ended Jun 30, 2026","23-Jul-2026"
"SURYODAY","Suryoday Small Finance Bank Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","23-Jul-2026"
"THYROCARE","Thyrocare Technologies Limited","Financial Results","Thyrocare Technologies Limited has informed the Exchange about Board Meeting to be held on July 23, 2026 to inter-alia consider and approve the Unaudited Standalone and Consolidated Financial results of the Company for the quarter ended June 30, 2026","23-Jul-2026"
"UJJIVANSFB","Ujjivan Small Finance Bank Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","23-Jul-2026"
"VMM","Vishal Mega Mart Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","23-Jul-2026"
"AARON","Aaron Industries Limited","Other business matters","To consider other business matters","24-Jul-2026"
"ACC","ACC Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","24-Jul-2026"
"ALLDIGI","Alldigi Tech Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended Jun 30, 2026 and dividend","24-Jul-2026"
"APARINDS","Apar Industries Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","24-Jul-2026"
"ARIHANTCAP","Arihant Capital Markets Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","24-Jul-2026"
